0, 1
0, 15
0, 16
1, 0
1, 2
1, 17
2, 1
2, 3
2, 18
2, 53
3, 2
3, 4
3, 19
4, 3
4, 5
4, 20
5, 4
5, 6
5, 21
5, 62
6, 5
6, 7
6, 22
6, 48
6, 52
7, 6
7, 8
7, 23
8, 7
8, 9
8, 24
9, 8
9, 10
9, 25
9, 58
10, 9
10, 11
10, 26
10, 48
11, 10
11, 12
11, 27
12, 11
12, 13
12, 28
13, 12
13, 14
13, 29
13, 50
13, 56
13, 60
14, 13
14, 15
14, 30
15, 0
15, 14
15, 31
16, 0
16, 32
17, 1
17, 48
18, 2
18, 33
19, 3
20, 4
20, 34
20, 54
21, 5
22, 6
22, 35
23, 7
23, 62
24, 8
24, 36
24, 60
24, 63
25, 9
26, 10
26, 37
26, 56
26, 58
26, 60
27, 11
27, 54
28, 12
28, 38
29, 13
29, 61
30, 14
30, 39
31, 15
31, 57
32, 16
32, 40
33, 18
34, 20
34, 41
35, 22
35, 52
35, 56
35, 60
36, 24
36, 42
37, 26
37, 60
38, 28
38, 43
38, 59
39, 30
39, 48
39, 55
40, 32
40, 44
40, 54
41, 34
41, 48
41, 49
42, 36
42, 45
43, 38
43, 50
44, 40
44, 46
44, 48
45, 42
46, 44
46, 47
46, 56
47, 46
48, 6
48, 10
48, 17
48, 39
48, 41
48, 44
48, 51
48, 63
49, 41
49, 60
50, 13
50, 43
50, 51
50, 58
50, 60
51, 48
51, 50
51, 56
52, 6
52, 35
52, 59
52, 60
53, 2
54, 20
54, 27
54, 40
54, 56
55, 39
55, 60
56, 13
56, 26
56, 35
56, 46
56, 51
56, 54
57, 31
58, 9
58, 26
58, 50
59, 38
59, 52
60, 13
60, 24
60, 26
60, 35
60, 37
60, 49
60, 50
60, 52
60, 55
61, 29
62, 5
62, 23
63, 24
63, 48
